route_id,route_name,km_from,km_to,province,geocode,agency,accidents,dead,injured,severity_score,accidents_per_year,years_observed,rain_share,common_geometry,common_cause
2,มวกเหล็ก - บ่อทอง,47,48,นครราชสีมา,30,กรมทางหลวง,8,1,17,27,2.67,3,0.375,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด
2410,บ้านเหล่า - ดอนกลอย,4,5,อุดรธานี,41,กรมทางหลวง,8,2,7,27,2,4,0,ทางตรง+ไม่มีความลาดชัน,หลับใน
1202,พะเยา - สันต้นแหน,2,3,พะเยา,56,กรมทางหลวง,8,2,7,27,2.67,3,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
1090,แม่สอด - ห้วยน้ำริน,37,38,ตาก,63,กรมทางหลวง,8,1,17,27,2.67,3,0.125,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
24,ซับประดู่ - สี่แยกปักธงชัย,28,29,นครราชสีมา,30,กรมทางหลวง,7,2,7,27,1.4,5,0.143,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
21,บ้านโตก - หัวนา,236,237,เพชรบูรณ์,67,กรมทางหลวง,7,2,7,27,2.33,3,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4,วังครก - เสียบญวณ,473,474,ชุมพร,86,กรมทางหลวง,7,2,7,27,1.4,5,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
2,โนนสะอาด - อุดรธานี,444,445,อุดรธานี,41,กรมทางหลวง,7,2,7,27,1.4,5,0.143,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
221,ศรีสะเกษ - ภูเงิน,4,5,ศรีสะเกษ,33,กรมทางหลวง,7,2,7,27,2.33,3,0.143,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
2077,ลำดวน - สังขะ,23,24,สุรินทร์,32,กรมทางหลวง,7,2,7,27,1.75,4,0,ทางตรง+ไม่มีความลาดชัน,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด
212,ย้อมพัฒนา - นาโพธิ์,447,448,มุกดาหาร,49,กรมทางหลวง,7,2,7,27,1.4,5,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
323,หนองสามพราน - แก่งประลอม,103,104,กาญจนบุรี,71,กรมทางหลวง,7,1,17,27,1.75,4,0,ทางตรง+ไม่มีความลาดชัน,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด
42,สะปอม - ปาเสมัส,255,256,นราธิวาส,96,กรมทางหลวง,7,2,7,27,1.75,4,0.143,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
37,วังโบสถ์ - ปราณบุรี,32,33,ประจวบคีรีขันธ์,77,กรมทางหลวง,6,2,7,27,1.5,4,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
302,สะพานพระนั่งเกล้า - ต่างระดับบางใหญ่,16,17,นนทบุรี,12,กรมทางหลวง,6,2,7,27,2,3,0,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตรากำหนด
3,นายายอาม - บ้านสิ้ว,293,294,จันทบุรี,22,กรมทางหลวง,6,2,7,27,1.5,4,0.167,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
2,บ่อทอง - มอจะบก,91,92,นครราชสีมา,30,กรมทางหลวง,6,2,7,27,1.5,4,0.333,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
E002S014|U,แจ้งวัฒนะ-พญาไท,0,1,กรุงเทพมหานคร,10,การทางพิเศษแห่งประเทศไทย,6,0,27,27,1.5,4,0,ทางแยกต่างระดับ/Ramps,
43,นาหม่อม - จะนะ,26,27,สงขลา,90,กรมทางหลวง,6,1,17,27,1.5,4,0.167,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
403,กะปาง - ห้วยนาง,73,74,ตรัง,92,กรมทางหลวง,6,2,7,27,1.5,4,0.167,ทางแยกรูปตัว ++ที่ราบ,ขับรถเร็วเกินอัตรากำหนด
41,ไม้เสียบ - สี่แยกโพธิ์ทอง,350,351,พัทลุง,93,กรมทางหลวง,6,2,7,27,2,3,0.167,ทางตรง+ที่ราบ,หลับใน
232,ถนนวงแหวนรอบเมืองร้อยเอ็ด,18,19,ร้อยเอ็ด,45,กรมทางหลวง,6,2,7,27,3,2,0,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด
11,อุโมงค์ - รินคำ,541,542,เชียงใหม่,50,กรมทางหลวง,5,2,7,27,1.67,3,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
12,ร่องแซง - หนองแก,470,471,ขอนแก่น,40,กรมทางหลวง,5,2,7,27,1.25,4,0.2,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4,พระประโทน - สระกระเทียม,58,59,นครปฐม,73,กรมทางหลวง,5,2,7,27,1.67,3,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
2,ไร่โคกสูง - โคกกรวด,129,130,นครราชสีมา,30,กรมทางหลวง,5,1,17,27,1.67,3,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4,คลองบางดินสอ - นาเหนือ,859,860,พังงา,82,กรมทางหลวง,5,2,7,27,1.67,3,0.6,ทางโค้งกว้าง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด
305,คลอง 14 - องครักษ์,43,44,นครนายก,26,กรมทางหลวง,5,2,7,27,1.67,3,0.2,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
1,โนนปอแดง - ปากดง,427,428,กำแพงเพชร,62,กรมทางหลวง,5,2,7,27,1.25,4,0.2,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
1134,บ้านเวียง - ร้องเข็ม,21,22,แพร่,54,กรมทางหลวง,5,2,7,27,2.5,2,0,ทางโค้งกว้าง+ไม่มีความลาดชัน,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด
12,แยกอาเซียน - น้ำดุก,354,355,เพชรบูรณ์,67,กรมทางหลวง,5,2,7,27,2.5,2,0,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด
309,วังน้อย - บ้านสร้าง,4,5,พระนครศรีอยุธยา,14,กรมทางหลวง,5,2,7,27,1.67,3,0.2,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
41,สี่แยกโพธิ์ทอง - พัทลุง,375,376,พัทลุง,93,กรมทางหลวง,5,2,7,27,2.5,2,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
207,บ้านวัด - ประทาย,14,15,นครราชสีมา,30,กรมทางหลวง,4,2,7,27,2,2,0.25,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
108,เชียงใหม่ - ปากทางท่าลี่,17,18,เชียงใหม่,50,กรมทางหลวง,4,2,7,27,1.33,3,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
